#NAME SDSSID RA DEC R_PET R_PET_ERR I_MOD I_MOD_ERR G_MOD G_MOD_ERR N_FIRST FIRST_TOTINTFLUX N_NVSS NVSS_TOTINTFLUX Z QOP ZSOURCE OIII_SN EW_OIII VISCLASS BESTCLASS HI_COMP ZSOURCE_TARGET DISAGREE_GAMA NAME RA_deg DEC_deg W1 W1err W2 W2err W3 W3err W4 W4err
J001247.57+004715.8 587731187279069390 3.19824 0.78774 16.390 0.011 15.822 0.005 17.413 0.008 3 33.39 1 61.700 0.14851 5 SDSS 1.90 0.74 NA LERG 0 -1 -1 J001247.57+004715.8 3.198240 0.787740 13.749 0.036 13.596 0.047 12.035 0.000 8.388 0.000
J001256.18+001517.8 587731186742198525 3.23411 0.25495 19.657 0.119 18.585 0.021 20.725 0.054 1 0.89 0 -99.000 0.58717 4 SDSS 11.10 10.40 NA HERG 0 -1 -1 J001256.18+001517.8 3.234110 0.254950 14.520 0.031 14.322 0.050 11.578 0.244 8.432 0.000
J001257.21+003709.7 588015509807628972 3.23839 0.61939 20.634 0.073 20.065 0.041 21.203 0.051 1 1.63 0 -99.000 0.76307 4 SDSS .. .. AeB AeB 0 -1 -1 J001257.21+003709.7 3.238390 0.619390 14.523 0.031 13.087 0.031 9.769 0.057 7.187 0.135
J001305.00-010549.2 588015507660210181 3.27085 -1.09701 19.793 0.035 19.656 0.027 20.005 0.025 1 17.78 1 23.257 1.25962 3 SDSS .. .. AeB AeB 0 -1 -1 J001305.00-010549.2 3.270850 -1.097010 15.939 0.058 14.798 0.067 12.076 0.357 8.649 0.000
J001318.40+000011.7 588015509270823057 3.32669 0.00327 17.163 0.014 16.721 0.009 17.956 0.011 1 0.47 0 -99.000 0.06488 4 SDSS 7.07 2.17 NA SF 0 -1 -1 J001318.40+000011.7 3.326690 0.003270 13.556 0.026 13.267 0.031 9.105 0.036 7.191 0.141
J001406.79-003851.0 588015508197146733 3.52831 -0.64751 17.450 0.089 17.076 0.010 18.622 0.020 1 1.38 1 2.600 0.10886 5 SDSS -0.37 -0.12 NA LERG 0 -1 -1 J001406.79-003851.0 3.528310 -0.647510 14.748 0.032 14.644 0.063 12.382 0.000 8.600 0.000
J001428.73+003904.6 587731187279265923 3.61974 0.65128 19.653 0.027 19.729 0.029 20.098 0.020 4 17.37 2 35.800 1.16647 4 SDSS .. .. AeB AeB 0 -1 -1 J001428.73+003904.6 3.619740 0.651280 14.774 0.033 13.783 0.039 11.149 0.194 8.227 0.376
J001438.28-010750.1 588015507660341372 3.65952 -1.13061 18.884 0.016 18.376 0.012 19.206 0.015 1 1.59 0 -99.000 1.80541 3 SDSS .. .. AeB AeB 0 -1 -1 J001438.28-010750.1 3.659520 -1.130610 15.030 0.036 13.580 0.037 10.678 0.107 8.371 0.000
J001444.02-000018.5 587731186205524024 3.68345 -0.00515 17.842 0.006 17.638 0.008 17.905 0.006 1 0.83 0 -99.000 1.55088 4 SDSS .. .. AeB AeB 0 -1 -1 J001444.02-000018.5 3.683450 -0.005150 14.985 0.037 13.960 0.045 11.286 0.200 8.339 0.000
J001453.56+001034.7 588015509271019715 3.72320 0.17633 17.752 0.025 17.269 0.011 18.599 0.015 1 0.74 0 -99.000 0.08474 4 SDSS 7.22 3.00 NA SF 0 -1 -1 J001453.56+001034.7 3.723200 0.176330 13.701 0.026 13.286 0.031 9.092 0.035 7.193 0.162
